date,account_value
2019-01-02,1000000.0
2019-01-03,998976.2559798659
2019-01-04,1001611.2928672028
2019-01-07,1003066.1863883056
2019-01-08,1005511.874051689
2019-01-09,1006193.3310596235
2019-01-10,1008093.6740373304
2019-01-11,1007610.4196710776
2019-01-14,1005064.5379257888
2019-01-15,1009042.9152321473
2019-01-16,1008373.1260043528
2019-01-17,1012294.3387448506
2019-01-18,1017819.7194318395
2019-01-22,1011156.9573987853
2019-01-23,1013178.8875365644
2019-01-24,1009834.8575254828
2019-01-25,1014634.9172569548
2019-01-28,1006566.9180360152
2019-01-29,1003701.4854448019
2019-01-30,1014749.0315949521
2019-01-31,1019299.2639126707
2019-02-01,1027537.7611228643
2019-02-04,1035504.9717106672
2019-02-05,1045936.75524931
2019-02-06,1045618.4382818571
2019-02-07,1031938.751336205
2019-02-08,1036072.7173108563
2019-02-11,1041906.0031002393
2019-02-12,1056395.2282282796
2019-02-13,1054381.367420857
2019-02-14,1050603.2323255697
2019-02-15,1059064.834264237
2019-02-19,1060959.5560078511
2019-02-20,1058746.6652527815
2019-02-21,1056848.655468678
2019-02-22,1068456.1820011793
2019-02-25,1072576.8754915814
2019-02-26,1077570.1830601697
2019-02-27,1082395.511287701
2019-02-28,1084298.905245831
2019-03-01,1090456.4194312368
2019-03-04,1069907.7483052756
2019-03-05,1064450.2553666083
2019-03-06,1055972.6774420019
2019-03-07,1048542.38099968
2019-03-08,1046786.6866788716
2019-03-11,1052969.3079983906
2019-03-12,1046474.3637810254
2019-03-13,1054997.4081963773
2019-03-14,1057939.0855795827
2019-03-15,1067305.0647673039
2019-03-18,1067226.242920426
2019-03-19,1070876.347923287
2019-03-20,1068335.0716797223
2019-03-21,1081156.310019032
2019-03-22,1051734.0857121167
2019-03-25,1052375.6876189886
2019-03-26,1053008.8603085028
2019-03-27,1040933.3604696966
2019-03-28,1043757.959687531
2019-03-29,1058352.6608719258
2019-04-01,1073651.4216029935
2019-04-02,1071660.1035214316
2019-04-03,1076585.1219433295
2019-04-04,1069496.9123904195
