date,account_value
2019-01-02,1000000.0
2019-01-03,998884.0559555512
2019-01-04,1001624.9370127793
2019-01-07,1002738.2240689241
2019-01-08,1005336.0766643832
2019-01-09,1006293.5380374606
2019-01-10,1008536.0950369877
2019-01-11,1007841.724388039
2019-01-14,1004665.6204481967
2019-01-15,1008204.9410428316
2019-01-16,1007930.1690106129
2019-01-17,1011964.442317246
2019-01-18,1018427.9314479528
2019-01-22,1012305.9921790622
2019-01-23,1015174.8062840808
2019-01-24,1013204.9214173283
2019-01-25,1016555.8567999653
2019-01-28,1007267.3344886554
2019-01-29,1005932.8947091906
2019-01-30,1015204.947823891
2019-01-31,1016895.6602710345
2019-02-01,1018400.4832374575
2019-02-04,1027133.1528687517
2019-02-05,1039072.647481476
2019-02-06,1040394.4502260362
2019-02-07,1024803.6126969111
2019-02-08,1026972.0556566584
2019-02-11,1024208.5882958834
2019-02-12,1037649.1902386476
2019-02-13,1039340.0557146723
2019-02-14,1038689.6675314753
2019-02-15,1053330.4635744134
2019-02-19,1051342.6166390956
2019-02-20,1052470.4841465417
2019-02-21,1050683.604838604
2019-02-22,1060529.607341156
2019-02-25,1064289.6465810703
2019-02-26,1065884.034077225
2019-02-27,1067825.0269900782
2019-02-28,1067274.27309441
2019-03-01,1071220.1621939205
2019-03-04,1055434.6074224208
2019-03-05,1053036.873910702
2019-03-06,1040455.6413799708
2019-03-07,1031339.0277662165
2019-03-08,1029492.0693918039
2019-03-11,1036393.6260256845
2019-03-12,1031846.706840092
2019-03-13,1041455.2764013102
2019-03-14,1042875.2163359568
2019-03-15,1055479.1425994074
2019-03-18,1054135.4671988336
2019-03-19,1054046.870263447
2019-03-20,1053712.3317983972
2019-03-21,1061414.0102206385
2019-03-22,1042275.3147906458
2019-03-25,1041316.700405926
2019-03-26,1046398.8327641146
2019-03-27,1041204.347461098
2019-03-28,1046705.6213101046
2019-03-29,1057510.5454572528
2019-04-01,1063228.978783642
2019-04-02,1056875.719151043
2019-04-03,1058638.6599344828
2019-04-04,1059816.6306315272
2019-04-05,1067457.2607413065
2019-04-08,1063941.3163823588
2019-04-09,1059229.1676562044
