time/iterations,train/reward_mean,train/reward,time/time_elapsed,train/reward_max,time/fps,train/reward_min,time/total_timesteps,train/entropy_loss,train/learning_rate,train/clip_fraction,train/value_loss,train/clip_range,train/loss,train/n_updates,train/std,train/explained_variance,train/approx_kl,train/policy_gradient_loss
1,-0.017667463,-1.349765,1,4.7633834,1401,-4.8428993,2048,,,,,,,,,,,
2,-0.030903734,0.37793076,3,4.8776464,1274,-4.3003707,4096,-41.20577762126923,0.0003,0.21064453125,5.005853478610516,0.2,1.6463385820388794,10,1.0030677318572998,-0.019536256790161133,0.01774706,-0.038347559925750827
3,-0.02045043,-0.9186123,5,4.7844343,1214,-4.902437,6144,-41.325683403015134,0.0003,0.256884765625,4.103790466487408,0.2,1.2821568250656128,20,1.008408784866333,0.04321867227554321,0.024217226,-0.03718081611441448
4,-0.02415747,0.32018206,6,4.5753207,1178,-4.792465,8192,-41.43277192115784,0.0003,0.248828125,4.153743885457516,0.2,1.351090908050537,30,1.0111606121063232,0.11705726385116577,0.02052808,-0.0343238603672944
5,-0.021106778,-0.3508079,8,4.8226814,1178,-4.9453244,10240,-41.4885632276535,0.0003,0.254541015625,4.103038607537746,0.2,1.2590550184249878,40,1.0127071142196655,0.16446447372436523,0.025171082,-0.029788635918521322
6,-0.022767207,-2.061335,10,4.948326,1175,-5.014479,12288,-41.54741325378418,0.0003,0.23193359375,3.7377329632639884,0.2,1.4734857082366943,50,1.015006422996521,0.25316286087036133,0.02174405,-0.03301384454825893
7,-0.020826006,-0.16197194,12,4.922422,1178,-4.5025067,14336,-41.59077796936035,0.0003,0.25732421875,4.056894253194332,0.2,1.4793851375579834,60,1.0161701440811157,0.2003917694091797,0.026256815,-0.02748981343465857
8,-0.02348206,1.4964138,14,5.174011,1166,-5.1354856,16384,-41.644088172912596,0.0003,0.2283203125,3.7874394938349725,0.2,1.4917018413543701,70,1.0187976360321045,0.3060396909713745,0.022374775,-0.02910050781792961
9,-0.011863234,0.4710779,16,4.8202567,1148,-4.8397946,18432,-41.72828805446625,0.0003,0.24873046875,4.058807781338691,0.2,1.1566354036331177,80,1.0212492942810059,0.326541006565094,0.022087464,-0.023805672506568953
10,-0.014978018,0.05772721,18,5.456083,1134,-4.6699185,20480,-41.76842653751373,0.0003,0.263525390625,4.0763026371598245,0.2,1.372977375984192,90,1.0219452381134033,0.4050956964492798,0.026152514,-0.025575016712537035
